batch,episode_start,epsilon,mean,std,min,max,p25,p50,p75
230,117760,0.988342,-4.57317,0.317557,-5.64706,-3.83732,-4.76448,-4.54013,-4.35432
231,118272,0.988291,-4.59358,0.33079,-5.95098,-3.47365,-4.80162,-4.56541,-4.37783
232,118784,0.98824,-4.59013,0.336516,-5.78493,-3.61336,-4.78592,-4.58119,-4.3701
233,119296,0.98819,-4.57809,0.327438,-5.40931,-3.56066,-4.79902,-4.55699,-4.37255
234,119808,0.988139,-4.58936,0.330268,-6.42157,-3.68536,-4.78822,-4.5795,-4.37868
235,120320,0.988088,-4.60485,0.331619,-5.63634,-3.70864,-4.80898,-4.58395,-4.38542
236,120832,0.988037,-4.58904,0.337646,-5.93137,-3.70098,-4.78408,-4.56219,-4.36964
237,121344,0.987987,-4.59518,0.330487,-5.85294,-3.68842,-4.78968,-4.58977,-4.38212
238,121856,0.987936,-4.57841,0.307282,-5.83333,-3.74326,-4.77964,-4.57154,-4.35218
239,122368,0.987885,-4.58483,0.308031,-5.4807,-3.70404,-4.77428,-4.55622,-4.38871
240,122880,0.987835,-4.56559,0.312581,-5.57843,-3.34988,-4.76317,-4.56097,-4.36749
241,123392,0.987784,-4.58621,0.331245,-6.03309,-3.67096,-4.80093,-4.57093,-4.3665
242,123904,0.987733,-4.59189,0.311327,-6.22549,-3.67647,-4.7703,-4.57016,-4.392
243,124416,0.987683,-4.56648,0.325736,-5.78431,-3.52083,-4.76938,-4.55836,-4.35317
244,124928,0.987632,-4.58751,0.324723,-5.80392,-3.57261,-4.80017,-4.58441,-4.36726
245,125440,0.987581,-4.55121,0.324879,-5.67831,-3.50153,-4.74311,-4.5337,-4.34398
246,125952,0.987531,-4.55318,0.34494,-5.8318,-3.39001,-4.75237,-4.55178,-4.32345
247,126464,0.98748,-4.58145,0.340243,-5.86275,-3.66851,-4.81779,-4.57613,-4.36382
248,126976,0.987429,-4.56743,0.341662,-5.88756,-3.49326,-4.77451,-4.5697,-4.33755
249,127488,0.987379,-4.6001,0.342332,-5.63726,-3.70466,-4.80522,-4.60018,-4.36742
250,128000,0.987328,-4.58292,0.356188,-5.71569,-3.30423,-4.80308,-4.57629,-4.34658
251,128512,0.987277,-4.58006,0.343356,-5.70588,-3.34559,-4.77796,-4.56587,-4.35631
252,129024,0.987226,-4.58651,0.329958,-5.60692,-3.53064,-4.78508,-4.57981,-4.35593
253,129536,0.987176,-4.61641,0.340512,-5.54688,-3.50429,-4.84153,-4.59161,-4.38718
254,130048,0.987125,-4.61151,0.342326,-5.87255,-3.39553,-4.84038,-4.59773,-4.38925
255,130560,0.987074,-4.59972,0.334718,-5.85294,-3.38052,-4.80461,-4.57659,-4.38863
256,131072,0.987024,-4.5885,0.358432,-5.63726,-3.53401,-4.80898,-4.58471,-4.36052
257,131584,0.986973,-4.57485,0.339024,-6.02941,-3.56066,-4.80591,-4.55959,-4.36022
258,132096,0.986922,-4.57937,0.35296,-6.34314,-3.51808,-4.80277,-4.56296,-4.35011
259,132608,0.986872,-4.5833,0.337036,-6.06863,-3.63756,-4.79458,-4.55086,-4.37577
260,133120,0.986821,-4.60871,0.336178,-5.7549,-3.58364,-4.81602,-4.60769,-4.39354
261,133632,0.98677,-4.5936,0.336009,-5.83333,-3.57567,-4.81281,-4.57491,-4.37163
262,134144,0.98672,-4.57386,0.331101,-5.61765,-3.72273,-4.7726,-4.56342,-4.34957
263,134656,0.986669,-4.60459,0.338592,-6.59804,-3.42004,-4.8138,-4.59207,-4.3688
264,135168,0.986618,-4.56971,0.340151,-5.85294,-3.4424,-4.78868,-4.55959,-4.34812
265,135680,0.986568,-4.59863,0.345922,-5.55882,-3.06158,-4.80767,-4.58977,-4.34743
266,136192,0.986517,-4.58789,0.345891,-5.70588,-3.44884,-4.80806,-4.57751,-4.3544
267,136704,0.986466,-4.58569,0.335069,-6.02941,-3.6348,-4.80216,-4.56342,-4.35516
268,137216,0.986415,-4.58887,0.337356,-5.63726,-3.45006,-4.81235,-4.55867,-4.3727
