batch,episode_start,epsilon,mean,std,min,max,p25,p50,p75
113,57856,0.998854,-4.89045,0.123794,-5.25831,-4.51885,-4.98204,-4.89253,-4.80922
114,58368,0.998844,-4.89714,0.12155,-5.27534,-4.45689,-4.9764,-4.89745,-4.81705
115,58880,0.998834,-4.89418,0.116059,-5.26806,-4.56501,-4.97052,-4.89868,-4.82034
116,59392,0.998824,-4.89939,0.107699,-5.22986,-4.53599,-4.97852,-4.90422,-4.8326
117,59904,0.998814,-4.88644,0.120416,-5.18742,-4.28941,-4.9645,-4.89553,-4.8189
118,60416,0.998804,-4.89056,0.120449,-5.27534,-4.41099,-4.96563,-4.89402,-4.82275
119,60928,0.998794,-4.89085,0.124172,-5.29466,-4.45651,-4.97399,-4.89934,-4.80893
120,61440,0.998783,-4.88828,0.128504,-5.57122,-4.43354,-4.97415,-4.88822,-4.80855
121,61952,0.998773,-4.88697,0.119924,-5.44396,-4.4812,-4.96384,-4.89316,-4.81978
122,62464,0.998763,-4.89734,0.113926,-5.21117,-4.50826,-4.96961,-4.90606,-4.8265
123,62976,0.998753,-4.8808,0.119326,-5.25519,-4.50733,-4.95557,-4.88315,-4.80449
124,63488,0.998743,-4.89087,0.116664,-5.23391,-4.50014,-4.96839,-4.89544,-4.81752
125,64000,0.998733,-4.8939,0.109728,-5.26313,-4.42575,-4.96793,-4.90242,-4.82181
126,64512,0.998723,-4.89049,0.12048,-5.28306,-4.54388,-4.97008,-4.89292,-4.81231
127,65024,0.998713,-4.88986,0.113808,-5.22561,-4.45466,-4.96027,-4.89494,-4.82294
128,65536,0.998702,-4.88758,0.119795,-5.2265,-4.43266,-4.96937,-4.89432,-4.81243
129,66048,0.998692,-4.89381,0.11987,-5.28258,-4.38855,-4.96892,-4.89851,-4.82568
130,66560,0.998682,-4.89688,0.117873,-5.25092,-4.5255,-4.9721,-4.89886,-4.82533
131,67072,0.998672,-4.88378,0.12382,-5.18498,-4.43028,-4.9617,-4.89503,-4.81044
132,67584,0.998662,-4.8821,0.118721,-5.21551,-4.43383,-4.96258,-4.89121,-4.81178
133,68096,0.998652,-4.8943,0.127269,-5.40659,-4.41429,-4.97281,-4.89556,-4.81441
134,68608,0.998642,-4.89963,0.117148,-5.39988,-4.47771,-4.96713,-4.90512,-4.82822
135,69120,0.998631,-4.8836,0.120502,-5.31136,-4.52391,-4.96172,-4.88079,-4.8019
136,69632,0.998621,-4.89274,0.118915,-5.20926,-4.44313,-4.97516,-4.90166,-4.81265
137,70144,0.998611,-4.90064,0.117663,-5.22894,-4.48483,-4.97664,-4.91088,-4.83281
138,70656,0.998601,-4.89842,0.113255,-5.29238,-4.55018,-4.97215,-4.90451,-4.81727
139,71168,0.998591,-4.88362,0.120502,-5.25618,-4.39912,-4.96361,-4.89097,-4.81099
140,71680,0.998581,-4.8932,0.120943,-5.44628,-4.48488,-4.96993,-4.90061,-4.81473
141,72192,0.998571,-4.89173,0.113684,-5.33125,-4.53934,-4.96604,-4.89663,-4.82125
142,72704,0.99856,-4.8913,0.11559,-5.23094,-4.46252,-4.97401,-4.89588,-4.82383
143,73216,0.99855,-4.89666,0.116899,-5.24461,-4.38886,-4.97825,-4.89926,-4.82663
144,73728,0.99854,-4.89593,0.118385,-5.28151,-4.47464,-4.96887,-4.90023,-4.82166
145,74240,0.99853,-4.88894,0.11429,-5.22283,-4.48141,-4.97142,-4.89355,-4.81481
146,74752,0.99852,-4.89467,0.114966,-5.30962,-4.37385,-4.9761,-4.89656,-4.82199
147,75264,0.99851,-4.89981,0.120962,-5.25031,-4.45466,-4.98044,-4.90285,-4.82455
148,75776,0.9985,-4.89218,0.116383,-5.28694,-4.43056,-4.96215,-4.89922,-4.82567
149,76288,0.998489,-4.8929,0.112854,-5.25824,-4.5222,-4.96743,-4.90017,-4.82006
150,76800,0.998479,-4.89077,0.112292,-5.20086,-4.4508,-4.96536,-4.89289,-4.82297
151,77312,0.998469,-4.88478,0.128271,-5.23743,-4.3844,-4.96734,-4.89443,-4.80113
152,77824,0.998459,-4.89883,0.111951,-5.26313,-4.46353,-4.9747,-4.89732,-4.82456
153,78336,0.998449,-4.89005,0.119746,-5.29976,-4.49417,-4.96534,-4.89245,-4.81615
154,78848,0.998439,-4.8995,0.11391,-5.23871,-4.4943,-4.97075,-4.90603,-4.83644
155,79360,0.998429,-4.88507,0.122521,-5.35447,-4.50237,-4.96846,-4.89405,-4.80161
156,79872,0.998419,-4.8809,0.124054,-5.2096,-4.46375,-4.96123,-4.89465,-4.80806
157,80384,0.998408,-4.88874,0.120994,-5.27778,-4.45686,-4.97666,-4.90268,-4.80548
158,80896,0.998398,-4.88827,0.118908,-5.17777,-4.44427,-4.97004,-4.89151,-4.81648
159,81408,0.998388,-4.89159,0.116246,-5.38523,-4.39776,-4.97,-4.89475,-4.81311
160,81920,0.998378,-4.88965,0.122954,-5.23634,-4.4063,-4.96706,-4.8941,-4.81708
161,82432,0.998368,-4.88654,0.11252,-5.25283,-4.41645,-4.95964,-4.89119,-4.81764
162,82944,0.998358,-4.89112,0.115173,-5.22631,-4.41242,-4.96763,-4.89606,-4.82629
163,83456,0.998348,-4.89752,0.115965,-5.33432,-4.38898,-4.9735,-4.896,-4.82622
164,83968,0.998337,-4.89973,0.114519,-5.28898,-4.58354,-4.97318,-4.90633,-4.82569
165,84480,0.998327,-4.89222,0.116258,-5.32662,-4.4696,-4.96566,-4.90037,-4.82244
166,84992,0.998317,-4.8844,0.12037,-5.23628,-4.49841,-4.962,-4.89444,-4.81356
167,85504,0.998307,-4.8886,0.113754,-5.31146,-4.47803,-4.96336,-4.89678,-4.81624
168,86016,0.998297,-4.89562,0.11318,-5.32173,-4.51301,-4.97264,-4.89889,-4.82951
169,86528,0.998287,-4.88749,0.117972,-5.30342,-4.40755,-4.95794,-4.89678,-4.8115
170,87040,0.998277,-4.89325,0.121049,-5.24799,-4.4755,-4.97417,-4.88935,-4.81187
171,87552,0.998266,-4.88088,0.114268,-5.23077,-4.50461,-4.95739,-4.88271,-4.80931
172,88064,0.998256,-4.8915,0.115948,-5.35348,-4.47908,-4.96034,-4.88811,-4.82388
173,88576,0.998246,-4.89903,0.113747,-5.36118,-4.54621,-4.96565,-4.89838,-4.83095
174,89088,0.998236,-4.89007,0.118816,-5.2429,-4.38008,-4.96672,-4.9036,-4.8184
175,89600,0.998226,-4.88837,0.118671,-5.38767,-4.45139,-4.96788,-4.89359,-4.81411
176,90112,0.998216,-4.89201,0.117901,-5.4099,-4.4776,-4.9706,-4.89263,-4.81966
177,90624,0.998206,-4.8919,0.117586,-5.21251,-4.50794,-4.97126,-4.89558,-4.82156
178,91136,0.998196,-4.88757,0.117925,-5.3086,-4.55883,-4.96383,-4.89428,-4.81046
179,91648,0.998185,-4.88841,0.112613,-5.26475,-4.52629,-4.96167,-4.88966,-4.817
180,92160,0.998175,-4.88168,0.119206,-5.17978,-4.47314,-4.96164,-4.88962,-4.80985
181,92672,0.998165,-4.88528,0.119331,-5.1681,-4.35369,-4.96703,-4.88949,-4.80901
182,93184,0.998155,-4.89643,0.117124,-5.23182,-4.41462,-4.97227,-4.89175,-4.82534
183,93696,0.998145,-4.89563,0.116788,-5.36153,-4.44212,-4.97096,-4.90134,-4.82723
184,94208,0.998135,-4.88214,0.112594,-5.24981,-4.5391,-4.9654,-4.88881,-4.80527
185,94720,0.998125,-4.89141,0.111832,-5.21391,-4.46855,-4.96323,-4.89641,-4.8222
186,95232,0.998114,-4.88829,0.121155,-5.34148,-4.41632,-4.96589,-4.89265,-4.81364
187,95744,0.998104,-4.89275,0.112617,-5.28266,-4.52665,-4.96577,-4.89108,-4.81888
