batch,episode_start,epsilon,mean,std,min,max,p25,p50,p75
109,55808,0.998895,-4.89041,0.122254,-5.22772,-4.49912,-4.96946,-4.88958,-4.81298
110,56320,0.998885,-4.89095,0.116441,-5.34127,-4.52906,-4.96358,-4.88511,-4.81359
111,56832,0.998875,-4.88148,0.113023,-5.33272,-4.47877,-4.95132,-4.8833,-4.80455
112,57344,0.998865,-4.8953,0.120431,-5.37241,-4.53426,-4.97519,-4.901,-4.82002
113,57856,0.998854,-4.89076,0.123671,-5.25831,-4.51276,-4.98204,-4.89404,-4.81021
114,58368,0.998844,-4.89739,0.121815,-5.27534,-4.45689,-4.97671,-4.89761,-4.81705
115,58880,0.998834,-4.89422,0.115615,-5.26806,-4.55318,-4.97009,-4.89608,-4.82112
116,59392,0.998824,-4.89935,0.10779,-5.2149,-4.53599,-4.97897,-4.90395,-4.8326
117,59904,0.998814,-4.88742,0.11965,-5.18742,-4.28941,-4.96663,-4.89655,-4.8216
118,60416,0.998804,-4.89065,0.120645,-5.27534,-4.41099,-4.96563,-4.89402,-4.82438
119,60928,0.998794,-4.89128,0.123933,-5.29466,-4.45651,-4.97438,-4.90032,-4.80893
120,61440,0.998783,-4.88805,0.129426,-5.57122,-4.43354,-4.97326,-4.88822,-4.80855
121,61952,0.998773,-4.88686,0.120042,-5.44396,-4.4812,-4.96384,-4.89342,-4.81956
122,62464,0.998763,-4.89712,0.113868,-5.21117,-4.50826,-4.96949,-4.90606,-4.8265
123,62976,0.998753,-4.88212,0.120306,-5.25519,-4.50733,-4.95608,-4.88517,-4.80405
124,63488,0.998743,-4.89044,0.118586,-5.23391,-4.4972,-4.96839,-4.89506,-4.81964
125,64000,0.998733,-4.8947,0.109593,-5.26313,-4.42575,-4.96793,-4.90314,-4.82284
126,64512,0.998723,-4.88931,0.120609,-5.28306,-4.54388,-4.97005,-4.8926,-4.81
127,65024,0.998713,-4.89063,0.113874,-5.22561,-4.45466,-4.96027,-4.89642,-4.8238
128,65536,0.998702,-4.88812,0.119999,-5.2265,-4.43266,-4.97012,-4.89432,-4.81243
129,66048,0.998692,-4.89355,0.120088,-5.28258,-4.38855,-4.96892,-4.89715,-4.82568
130,66560,0.998682,-4.89709,0.118548,-5.25092,-4.5255,-4.97386,-4.89905,-4.82442
131,67072,0.998672,-4.88429,0.122541,-5.18498,-4.43028,-4.96321,-4.89509,-4.81124
132,67584,0.998662,-4.88158,0.118707,-5.21551,-4.43383,-4.96179,-4.88814,-4.81178
133,68096,0.998652,-4.89464,0.127388,-5.40659,-4.41429,-4.97167,-4.89664,-4.81498
134,68608,0.998642,-4.90046,0.116453,-5.39988,-4.47413,-4.96713,-4.90594,-4.83007
135,69120,0.998631,-4.88356,0.120485,-5.31136,-4.52635,-4.96151,-4.88079,-4.80221
136,69632,0.998621,-4.89431,0.119206,-5.20926,-4.44313,-4.97537,-4.90188,-4.81387
137,70144,0.998611,-4.90113,0.117867,-5.22894,-4.48483,-4.97675,-4.91126,-4.83281
138,70656,0.998601,-4.8992,0.113875,-5.33633,-4.55018,-4.97365,-4.90598,-4.8163
139,71168,0.998591,-4.8839,0.120127,-5.25618,-4.3999,-4.96459,-4.89208,-4.81166
140,71680,0.998581,-4.89378,0.121207,-5.44628,-4.48488,-4.97384,-4.9011,-4.81537
141,72192,0.998571,-4.89172,0.114349,-5.33125,-4.53934,-4.96604,-4.89731,-4.82119
142,72704,0.99856,-4.89173,0.115574,-5.23094,-4.46252,-4.97568,-4.89588,-4.82414
143,73216,0.99855,-4.89668,0.116737,-5.24461,-4.38886,-4.97889,-4.89926,-4.82567
144,73728,0.99854,-4.89593,0.118557,-5.28151,-4.47464,-4.96741,-4.89953,-4.8224
145,74240,0.99853,-4.88807,0.115396,-5.24603,-4.48141,-4.97142,-4.8941,-4.81211
146,74752,0.99852,-4.89571,0.114298,-5.30962,-4.37385,-4.97676,-4.9009,-4.82316
147,75264,0.99851,-4.89989,0.121033,-5.25031,-4.45466,-4.98044,-4.90272,-4.82537
148,75776,0.9985,-4.89178,0.116743,-5.28694,-4.43056,-4.96329,-4.89922,-4.82317
149,76288,0.998489,-4.89359,0.11313,-5.25824,-4.5222,-4.96743,-4.90198,-4.8212
150,76800,0.998479,-4.89125,0.11124,-5.1833,-4.4508,-4.96536,-4.89253,-4.82408
151,77312,0.998469,-4.88574,0.128618,-5.23743,-4.3844,-4.96748,-4.89306,-4.80165
152,77824,0.998459,-4.89776,0.112041,-5.29014,-4.46353,-4.97559,-4.89682,-4.82456
153,78336,0.998449,-4.8898,0.120087,-5.29976,-4.49417,-4.96534,-4.89233,-4.81615
154,78848,0.998439,-4.89951,0.113875,-5.23871,-4.48255,-4.96997,-4.90535,-4.83557
155,79360,0.998429,-4.88637,0.122064,-5.35447,-4.50237,-4.96846,-4.8965,-4.80547
156,79872,0.998419,-4.88115,0.123588,-5.2096,-4.46375,-4.96011,-4.89413,-4.80806
157,80384,0.998408,-4.889,0.120455,-5.27778,-4.53314,-4.97639,-4.90272,-4.80681
158,80896,0.998398,-4.8882,0.119109,-5.17777,-4.44427,-4.96816,-4.89254,-4.81699
159,81408,0.998388,-4.89232,0.116587,-5.38523,-4.39776,-4.96994,-4.89649,-4.81401
160,81920,0.998378,-4.89043,0.123508,-5.23634,-4.4063,-4.96903,-4.89505,-4.81917
161,82432,0.998368,-4.88643,0.112472,-5.25283,-4.41645,-4.96184,-4.8896,-4.81764
162,82944,0.998358,-4.89231,0.114257,-5.22631,-4.41242,-4.9665,-4.89606,-4.82731
163,83456,0.998348,-4.89703,0.116107,-5.33432,-4.38898,-4.97179,-4.89489,-4.82561
164,83968,0.998337,-4.89965,0.115053,-5.28898,-4.58354,-4.97521,-4.90633,-4.82285
165,84480,0.998327,-4.89224,0.116318,-5.32662,-4.4696,-4.96457,-4.89964,-4.82235
166,84992,0.998317,-4.88568,0.119927,-5.23628,-4.49841,-4.96466,-4.89444,-4.81534
167,85504,0.998307,-4.8896,0.11384,-5.31146,-4.47803,-4.9651,-4.89702,-4.81532
168,86016,0.998297,-4.89567,0.113389,-5.33892,-4.51301,-4.9728,-4.8986,-4.82988
169,86528,0.998287,-4.88751,0.118254,-5.30342,-4.40755,-4.95793,-4.89713,-4.81165
170,87040,0.998277,-4.89335,0.121242,-5.24799,-4.4755,-4.97713,-4.8905,-4.8093
171,87552,0.998266,-4.88036,0.115255,-5.23077,-4.50461,-4.95984,-4.88209,-4.80931
